title,description,event_link,price,display_photo,photos,time_zone,hosts,sponsors,address_line_1,city,province_state,postal_zip_code,country,lat,lng,contact_email,contact_website,contact_primary_phone,start_date,end_date
The Wrapped Garden (Le Jardin emballé),"The New Brunswick Botanical Garden displays a sparkling and illuminated decor that will enchant the young and young at heart during the Wrapped Garden (Jardin emballé) event kicking off the magic of the holiday season. At the heart of this event is a large public market bringing together more than fifty vendors showcasing local products, impressive artwork, and unique crafts. Musicians and singers are on site to delight everyone's ears and hearts, and culinary treats will delight foodies and make your mouth water.",https://tourismnewbrunswick.ca/festivals-events/wrapped-garden-le-jardin-emballe,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/1i2a0296logonet_1.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a0236logonet.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a0296logonet.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a0339netlogo.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a9528logo.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a0241net.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a0292net.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a0359net_1.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/1i2a0480net.jpg""]",America/Moncton,,,15 Isidore-Boucher Blvd.,Edmundston,NB,,Canada,,,,https://jardinnbgarden.com/en/jardin-emballe/,,"Fri, Nov 7, 2025","Sun, Nov 9, 2025"
Moncton Wine Expo,"Experience the ultimate fusion of exceptional wines and gourmet cuisine at Moncton’s Wine Expo. Attend a grand tasting of wines from local and international vineyards with gourmet bites from the region’s finest Chefs and food purveyors, and a series of wine tastings and seminars tailored to suit all tastes and budgets.",https://tourismnewbrunswick.ca/festivals-events/moncton-wine-expo,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/wineexpo_2_564x370.png,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/world-wine-food-expo-moncton.jpg""]",America/Moncton,,,377 Killam Drive,Moncton,NB,,Canada,,,,https://wineexpo.ca/en/,,"Fri, Nov 7, 2025","Sat, Nov 8, 2025"
Christmas at the Station,"The McAdam Railway Station invites you to join us for Christmas at the Station for two weeks in November. See this historic heritage railway station all decorated and lit beautifully for Christmas – it is a magical experience for the entire family. Every visitor is greeted with a hot cup of cider and each room is decorated by non-profit organizations, residents of McAdam, and local businesses.",https://tourismnewbrunswick.ca/festivals-events/christmas-station,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/tasha-elliot-photo_credit-photographer.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/waiting-room-2.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/christmas-at-the-station_3.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/capture2.png"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/McAdamStationChristmas.JPG""]",America/Moncton,"[""McAdam Railway Station""]",,96 Saunders Road,McAdam,NB,,Canada,,,,https://www.mcadamstation.ca/,,"Thu, Nov 13, 2025","Sun, Nov 23, 2025"
Monde en fête Intercultural Festival,"Monde en fête is an intercultural festival organized by CAFi (Centre d’accueil et d’accompagnement francophone des immigrants du Sud-Est du Nouveau-Brunswick), a non-profit organization that helps francophone immigrants to become settled in the community. This event aims to bring together people from various backgrounds to celebrate diversity through performances, exhibitions, food, and cultural activities.",https://tourismnewbrunswick.ca/festivals-events/monde-en-fete-intercultural-festival,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/festival-monde-en-fete_0.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_2788.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_3145.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_3473.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_3703.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_3797.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_3974.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_4182_1.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_2639_1.jpg""]",America/Moncton,"[""CAFi (Centre d\u2019accueil et d\u2019accompagnement francophone des immigrants du Sud-Est du Nouveau-Brunswick)""]",,505 Du College Street & 331 Acadie Ave.,Dieppe,NB,,Canada,,,,https://www.mondeenfete.ca/,,"Fri, Nov 14, 2025","Sun, Nov 16, 2025"
Saint John Beer Fest,"Get ready for an unforgettable time at the Saint John Beer Fest! Join us at the Saint John Trade & Convention Centre for a high-energy celebration of craft beer, cider, seltzers, and ready-to-drink creations from near and far. Enjoy bottomless samples, carnival-style games, live entertainment, and unbeatable vibes — all in support of Housing Alternatives, providing safe and affordable housing for youth in need.",https://tourismnewbrunswick.ca/festivals-events/saint-john-beer-fest,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/saint-john-beer-fest-logo_0_0_0_0.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/sjbeerfest-picaroons-group.jpg""]",America/Moncton,,,"Saint John Trade and Convention Centre, 1 Market Square",Saint John,NB,,Canada,,,,https://www.eventbrite.ca/e/saint-john-beer-fest-2025-tickets-1117873552889,,"November 15, 2025","November 15, 2025"
FICFA (Festival international du cinéma francophone en Acadie),"The Festival international du cinéma francophone en Acadie (FICFA) showcases filmmakers from around the globe and highlights local talents in the Acadian and French film industry. Since 1987, this film festival presents a variety of films across different genres, including documentaries, comedies, dramas, and short films, many with English sub-titles so Francophiles can enjoy a wide selection of films. Whether you’re a film enthusiast or curious about Acadian and French culture, FICFA offers a meaningful and enriching experience in the heart of Moncton!",https://tourismnewbrunswick.ca/festivals-events/ficfa,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/02075924-9a7d-4d0b-992a-0a48002c35f1.jpeg,,,,,140 rue Botsford St.,Moncton,NB,,Canada,,,,https://www.ficfa.com/,,"Tue, Nov 18, 2025","Sun, Nov 23, 2025"
Rothesay Yule Christmas Market,"Brought to you by The Maritime Edit and together with CAA Atlantic, the Rothesay Yule is the kick-off to the season and a must attend fundraising event. Hosted both indoors and outdoors, indulge in a cosy marketplace of shopping and soak up the festive spirit; complete with live festive music, magic shows, petting zoo, complimentary treats and, of course, a special visit and family photo with Santa.",https://tourismnewbrunswick.ca/festivals-events/rothesay-yule-christmas-market,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/rothesay-yule-maritime-edit.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/rothesay-yule.jpg""]",America/Moncton,"[""The Maritime Edit""]","[""CAA Atlantic""]",40 College Hill Rd.,Rothesay,NB,,Canada,,,,https://maritimeedit.com/collections/yule-2024,,"Sun, Nov 16, 2025","Sun, Nov 16, 2025"
Christmas at the King's Head Inn in Kings Landing,"Since 1983, innkeepers at the King’s Head Inn have guided tens of thousands of guests by candlelight through the snow and into the magical warmth of the Inn. Join in this tradition and get in the spirit of Christmas! Once you enter the Inn, you will be met with a burst of Christmas music to get you in the spirit before the call to dine. After your meal, enjoy treats of Port, walnut toffee and gingerbread cookies. Book online and make this tradition your own!",https://tourismnewbrunswick.ca/festivals-events/christmas-kings-head-inn,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/picture-gals_0_0.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/christmas-kings-landing-group.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/christmas-kings-landing-2023.jpg""]",America/Moncton,,,5804 Route 102,Prince William,NB,,Canada,,,,https://kingslanding.nb.ca/christmas-at-the-khi/,,"Fri, Nov 21, 2025","Sun, Dec 21, 2025"
New Brunswick Spirits Festival,"Canada's oldest spirits festival! Join us for a multi-day celebration of the world’s finest spirits, featuring top-tier brands and industry experts from around the globe. Events include various dinners host by brand ambassadors and world renowned food experts, a huge selection of master classes, a special event at the Beaverbrook Art Gallery, the famous Festival Showcase and more! Onsite store operated by ANBL with festival exclusive products available for purchase.",https://tourismnewbrunswick.ca/festivals-events/new-brunswick-spirits-festival,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/NB%20Spirits%20-%20tasting.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/nb-spirits---bagpipe.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/nb-spirits---tasting-ballroom.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/nb-spirits---tasting.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/nb-spirits---glasses.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/nb-spirits---beaverbrook.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/nb-spirits---experts.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/nb-spirits---table.jpg""]",America/Moncton,,,Delta Fredericton 225 Woodstock Rd.,Fredericton,NB,,Canada,,,,https://www.whiskynb.ca/Festival/,,"Tue, Nov 18, 2025","Sat, Nov 22, 2025"
Turner’s Christmas at the Coliseum,"The Turner's Christmas Exhibition, every year in November, features gift ideas for everyone on your Christmas list. With hundreds of exhibitors to choose from, you will find arts, crafts, wood working, jewelry, gourmet food and much more. You are sure to find that special gift for that special someone!",https://tourismnewbrunswick.ca/festivals-events/turners-christmas-coliseum,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/turner-christmas-at-the-coliseum.jpg,,,,,377 Killam Drive,Moncton,NB,,Canada,,,,https://www.turnerschristmas.com/,,"Fri, Nov 21, 2025","Sun, Nov 23, 2025"
Greater Moncton Santa Claus Parade,"Bright lights, colourful costumes, festive music and a whole lot of good cheer, that’s what the ROYALE® Greater Moncton Santa Claus Parade is all about. Nothing warms the heart on a cold winter’s night like being surrounded by thousands of friendly faces and taking part in an age-old tradition, so fill your thermoses, head down to Main Street, huddle up with your loved ones and get ready to welcome the “Big Guy” to town.",https://tourismnewbrunswick.ca/festivals-events/greater-moncton-santa-claus-parade,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/06_santa-claus-parade-snow-1.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-2.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-42.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-46.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-98.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-108.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-113.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-131.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-133.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/santa-claus-parade-134.jpg""]",America/Moncton,,,655 Main Street,Moncton,NB,,Canada,,,,https://parademoncton.ca/scp_welcome_en.php,,"Sat, Nov 22, 2025","Sat, Nov 22, 2025"
Christmas by-the-Sea in Saint Andrews,Come to Saint Andrews by-the-Sea and celebrate everything Christmas with us! Experience the magic of our lovely town during the Holidays.,https://tourismnewbrunswick.ca/festivals-events/christmas-sea,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/chrismasbytheseafestsaintandrewsstorefront_1.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/ChristmasByTheSeaStAndrews-Hotel%20Europa.JPG"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/ChristmasByTheSeaStAndrews-CrockerHill.JPG""]",,,,Market Square & Historic Downtown District,Saint Andrews,NB,,Canada,,,,https://christmasbythesea.ca/,,"Mon, Nov 24, 2025","Sun, Dec 14, 2025"
